path,category,type,bytes,lines,source_control,role
docs/markdown/07_completion_and_history/COMPLETION_PROOF.md,Project documentation and academic material,md,8967,278,Local/generated/untracked,✅ DataVerse AI Phase 5 - FINAL COMPLETION PROOF
docs/markdown/07_completion_and_history/COMPLETION_SUMMARY.md,Project documentation and academic material,md,11632,403,Local/generated/untracked,DataVerse AI - Project Completion Summary
docs/markdown/07_completion_and_history/FINAL_COMPLETION_PROOF.md,Project documentation and academic material,md,4798,129,Local/generated/untracked,FINAL PROOF OF COMPLETION - DataVerse AI v2.0.0
docs/markdown/07_completion_and_history/FINAL_STATUS.md,Project documentation and academic material,md,12755,439,Local/generated/untracked,✅ ALL PHASES COMPLETE - FINAL STATUS REPORT
docs/markdown/07_completion_and_history/FINAL_SUMMARY.md,Project documentation and academic material,md,13027,521,Local/generated/untracked,🎉 DataVerse Analytics - COMPLETE & OPERATIONAL
docs/markdown/07_completion_and_history/PHASE_2_COMPLETION.md,Project documentation and academic material,md,18280,613,Local/generated/untracked,🎯 DataVerse Phase 2 - Complete Implementation
docs/markdown/07_completion_and_history/PHASE_5_COMPLETION_SUMMARY.md,Project documentation and academic material,md,10348,406,Local/generated/untracked,DataVerse AI - Phase 5 Completion Summary
docs/markdown/07_completion_and_history/PHASE_5_FUNCTIONAL_READINESS.md,Project documentation and academic material,md,8265,256,Local/generated/untracked,Phase 5 Complete - Functional Readiness Report
docs/markdown/07_completion_and_history/PHASE_5_IMPROVEMENTS.md,Project documentation and academic material,md,12331,494,Local/generated/untracked,DataVerse AI - Phase 5: Enhanced Features & Modern Frontend
docs/markdown/07_completion_and_history/PHASES_COMPLETION_REPORT.md,Project documentation and academic material,md,14470,447,Local/generated/untracked,DataVerse AI Platform - All Phases Completion Report
docs/markdown/07_completion_and_history/SESSION_COMPLETION_PRIORITY1.md,Project documentation and academic material,md,9212,276,Local/generated/untracked,Session Completion Report: All 20 Tools Implemented ✅
docs/markdown/07_completion_and_history/SESSION_PRIORITY2_SUMMARY.md,Project documentation and academic material,md,9413,284,Local/generated/untracked,Priority 2 Testing Framework Enhancement - Session Summary
docs/markdown/07_completion_and_history/STATUS_REPORT.md,Project documentation and academic material,md,15495,472,Local/generated/untracked,🚀 DataVerse Analytics - Status Report
docs/markdown/08_generated_notes/chapter_6_7/chapter_6_7_evidence_log.md,Project documentation and academic material,md,23597,222,Local/generated/untracked,Chapter 6/7 Evidence Log
docs/markdown/08_generated_notes/chapter_6_7/chapter_6_7_figures_list.md,Project documentation and academic material,md,2877,27,Local/generated/untracked,Chapter 6/7 Figures List
docs/markdown/08_generated_notes/chapter_6_7/chapter_6_data_collection_analysis.md,Project documentation and academic material,md,18154,300,Local/generated/untracked,Chapter 6: Data Collection & Analysis
docs/markdown/08_generated_notes/chapter_6_7/chapter_6_tables.md,Project documentation and academic material,md,8266,189,Local/generated/untracked,Chapter 6 Tables
docs/markdown/08_generated_notes/chapter_6_7/chapter_7_results_discussion.md,Project documentation and academic material,md,14541,164,Local/generated/untracked,Chapter 7: Results & Discussion
docs/markdown/08_generated_notes/chapter_6_7/chapter_7_tables.md,Project documentation and academic material,md,7524,115,Local/generated/untracked,Chapter 7 Tables
docs/markdown/08_generated_notes/DATAVERSE_AI_TECHNICAL_REPORT_SOURCE_NOTES.md,Project documentation and academic material,md,2094,33,Local/generated/untracked,DataVerse AI technical report source notes
docs/markdown/README.md,Project documentation and academic material,md,14283,149,Local/generated/untracked,DataVerse AI Markdown Documentation Library
docs/reports/test_results.txt,Project documentation and academic material,txt,12698,126,Tracked,Academic specification or supporting document: test results.
docs/specs/DataVerse_Agentic_Specification.docx,Project documentation and academic material,docx,25260,,Tracked,Academic specification or supporting document: DataVerse Agentic Specification.
docs/specs/DataVerse_Agentic_Specification.tmp.docx,Project documentation and academic material,docx,27428,,Tracked,Academic specification or supporting document: DataVerse Agentic Specification.tmp.
docs/specs/DataVerse_Agentic_Specification_UPDATED.docx,Project documentation and academic material,docx,27428,,Tracked,Academic specification or supporting document: DataVerse Agentic Specification UPDATED.
logs/codex-dev-check.err.log,"Generated reports, figures, logs, and screenshots",log,0,,Local/generated/untracked,Development/runtime log artifact; content is not treated as source code.
logs/codex-dev-check.out.log,"Generated reports, figures, logs, and screenshots",log,0,,Local/generated/untracked,Development/runtime log artifact; content is not treated as source code.
logs/codex-dev-final.err.log,"Generated reports, figures, logs, and screenshots",log,488,,Local/generated/untracked,Development/runtime log artifact; content is not treated as source code.
logs/codex-dev-final.out.log,"Generated reports, figures, logs, and screenshots",log,2441,,Local/generated/untracked,Development/runtime log artifact; content is not treated as source code.
logs/codex-dev-verify.err.log,"Generated reports, figures, logs, and screenshots",log,489,,Local/generated/untracked,Development/runtime log artifact; content is not treated as source code.
logs/codex-dev-verify.out.log,"Generated reports, figures, logs, and screenshots",log,936,,Local/generated/untracked,Development/runtime log artifact; content is not treated as source code.
logs/dataverse_backend.log,"Generated reports, figures, logs, and screenshots",log,241374,,Local/generated/untracked,Development/runtime log artifact; content is not treated as source code.
logs/demo-dev.err.log,"Generated reports, figures, logs, and screenshots",log,0,,Local/generated/untracked,Development/runtime log artifact; content is not treated as source code.
logs/demo-dev.out.log,"Generated reports, figures, logs, and screenshots",log,0,,Local/generated/untracked,Development/runtime log artifact; content is not treated as source code.
output/architecture/dataverse-production-architecture.png,"Generated reports, figures, logs, and screenshots",png,93769,,Local/generated/untracked,"Generated figure, architecture asset, or UI verification screenshot."
output/architecture/dataverse-request-data-flow.png,"Generated reports, figures, logs, and screenshots",png,197361,,Local/generated/untracked,"Generated figure, architecture asset, or UI verification screenshot."
output/pdf/DataVerse_AI_Complete_Current_Folder_Audit_2026.docx,"Generated reports, figures, logs, and screenshots",docx,499194,,Local/generated/untracked,Generated or revised Word deliverable.
output/pdf/DataVerse_AI_Complete_Current_Folder_Audit_2026.pdf,"Generated reports, figures, logs, and screenshots",pdf,1034492,,Local/generated/untracked,Generated or revised PDF deliverable.
output/pdf/DataVerse_AI_Complete_Technical_Implementation_Report_2026.docx,"Generated reports, figures, logs, and screenshots",docx,499194,,Local/generated/untracked,Generated or revised Word deliverable.
output/pdf/DataVerse_AI_Complete_Technical_Implementation_Report_2026.pdf,"Generated reports, figures, logs, and screenshots",pdf,1034492,,Local/generated/untracked,Generated or revised PDF deliverable.
output/pdf/DataVerse_AI_Complete_Technical_Implementation_Report_2026_delivery.pdf,"Generated reports, figures, logs, and screenshots",pdf,799080,,Local/generated/untracked,Generated or revised PDF deliverable.
output/pdf/DataVerse_AI_Complete_Technical_Implementation_Report_2026_final.pdf,"Generated reports, figures, logs, and screenshots",pdf,818315,,Local/generated/untracked,Generated or revised PDF deliverable.
output/pdf/DataVerse_AI_Complete_Technical_Implementation_Report_2026_verified.pdf,"Generated reports, figures, logs, and screenshots",pdf,815957,,Local/generated/untracked,Generated or revised PDF deliverable.
output/pdf/DataVerse_AI_Final_Report_Final_2026.pdf,"Generated reports, figures, logs, and screenshots",pdf,2297061,,Local/generated/untracked,Generated or revised PDF deliverable.
output/pdf/DataVerse_AI_Final_Report_Revised_2026.docx,"Generated reports, figures, logs, and screenshots",docx,2536497,,Local/generated/untracked,Generated or revised Word deliverable.
output/pdf/DataVerse_AI_Final_Report_Revised_2026.pdf,"Generated reports, figures, logs, and screenshots",pdf,2297057,,Local/generated/untracked,Generated or revised PDF deliverable.
output/pdf/DataVerse_AI_Final_Report_Revised_2026_Final.pdf,"Generated reports, figures, logs, and screenshots",pdf,2297061,,Local/generated/untracked,Generated or revised PDF deliverable.
output/pdf/DataVerse_AI_Final_Report_Simple_Architecture_2026.pdf,"Generated reports, figures, logs, and screenshots",pdf,2131108,,Local/generated/untracked,Generated or revised PDF deliverable.
output/playwright/latest-dashboard.png,"Generated reports, figures, logs, and screenshots",png,362945,,Local/generated/untracked,"Generated figure, architecture asset, or UI verification screenshot."
output/playwright/latest-features.png,"Generated reports, figures, logs, and screenshots",png,82039,,Local/generated/untracked,"Generated figure, architecture asset, or UI verification screenshot."
output/playwright/latest-landing.png,"Generated reports, figures, logs, and screenshots",png,179864,,Local/generated/untracked,"Generated figure, architecture asset, or UI verification screenshot."
output/playwright/latest-login.png,"Generated reports, figures, logs, and screenshots",png,362945,,Local/generated/untracked,"Generated figure, architecture asset, or UI verification screenshot."
output/playwright/latest-signup.png,"Generated reports, figures, logs, and screenshots",png,366687,,Local/generated/untracked,"Generated figure, architecture asset, or UI verification screenshot."
output/playwright/preview-state.json,"Generated reports, figures, logs, and screenshots",json,414,18,Local/generated/untracked,Generated machine-readable verification or report metadata.
output/slides/FYP_P2_Defense_Revised_2026.pptx,"Generated reports, figures, logs, and screenshots",pptx,1000890,,Local/generated/untracked,Generated or revised presentation deliverable.
output/technical_report/DataVerse_AI_Current_Folder_Audit.json,"Generated reports, figures, logs, and screenshots",json,99820,2944,Local/generated/untracked,Generated machine-readable verification or report metadata.
output/technical_report/DataVerse_AI_Current_Folder_File_Inventory.csv,"Generated reports, figures, logs, and screenshots",csv,48173,308,Local/generated/untracked,Structured dataset or API test fixture; row/column details are documented in the data section.
output/technical_report/saved_model_feature_importance.png,"Generated reports, figures, logs, and screenshots",png,124319,,Local/generated/untracked,"Generated figure, architecture asset, or UI verification screenshot."
output/technical_report/stockout_confusion_matrix.png,"Generated reports, figures, logs, and screenshots",png,100280,,Local/generated/untracked,"Generated figure, architecture asset, or UI verification screenshot."
outputs/chapter_6_7_generation_summary.json,"Generated reports, figures, logs, and screenshots",json,10960,50,Local/generated/untracked,Generated machine-readable verification or report metadata.
report/chapter_outputs/figure_6_10_discount_vs_profit.png,"Generated reports, figures, logs, and screenshots",png,107482,,Local/generated/untracked,"Generated figure, architecture asset, or UI verification screenshot."
report/chapter_outputs/figure_6_3_sales_by_category.png,"Generated reports, figures, logs, and screenshots",png,52992,,Local/generated/untracked,"Generated figure, architecture asset, or UI verification screenshot."
report/chapter_outputs/figure_6_4_sales_by_region.png,"Generated reports, figures, logs, and screenshots",png,50781,,Local/generated/untracked,"Generated figure, architecture asset, or UI verification screenshot."
report/chapter_outputs/figure_6_5_profit_by_category.png,"Generated reports, figures, logs, and screenshots",png,54022,,Local/generated/untracked,"Generated figure, architecture asset, or UI verification screenshot."
report/chapter_outputs/figure_6_6_monthly_sales_trend.png,"Generated reports, figures, logs, and screenshots",png,93795,,Local/generated/untracked,"Generated figure, architecture asset, or UI verification screenshot."
report/chapter_outputs/figure_6_7_customer_type_distribution.png,"Generated reports, figures, logs, and screenshots",png,42174,,Local/generated/untracked,"Generated figure, architecture asset, or UI verification screenshot."
report/chapter_outputs/figure_6_8_payment_method_distribution.png,"Generated reports, figures, logs, and screenshots",png,48671,,Local/generated/untracked,"Generated figure, architecture asset, or UI verification screenshot."
report/chapter_outputs/figure_6_9_online_vs_offline_sales.png,"Generated reports, figures, logs, and screenshots",png,50403,,Local/generated/untracked,"Generated figure, architecture asset, or UI verification screenshot."
.claude/settings.json,Repository automation metadata,json,3296,52,Tracked,Repository automation or agent configuration: settings.
.claude/settings.local.json,Repository automation metadata,json,25512,198,Local/generated/untracked,Repository automation or agent configuration: settings.local.
.github/workflows/ci.yml,Repository automation metadata,yml,655,31,Tracked,Repository automation or agent configuration: ci.
.github/workflows/deploy-docker-host.yml,Repository automation metadata,yml,1325,45,Tracked,Repository automation or agent configuration: deploy docker host.
.github/workflows/deploy-hf-space.yml,Repository automation metadata,yml,2197,60,Tracked,Repository automation or agent configuration: deploy hf space.
